	Ctrl_0h	Lps_1h	Lps_2h	Lps_4h	Lps_6h	Lps_12h	Lps_24h	R848_1h	R848_2h	R848_4h	R848_6h	R848_12h	R848_24h	Ifnb_1h	Ifnb_2h	Ifnb_4h	Ifnb_6h	Ifnb_12h	Ifnb_24h
ZNF664-FAM101A	0.155833333333333	0.086	0.044	0.24375	0.07	0.044	0.183333333333333	0	0.0333333333333333	0	0	0	0	0	0	0.03	0	0	0
ZNF665	0.875416666666667	0.42	0.448	0.45625	0.675	0.544	0.71	0.16	0.243333333333333	0.0766666666666667	0.196666666666667	0.133333333333333	0	0.185	0.17	0.23	0.195	0.175	0.18
ZNF667	1.29125	0.386	0.366	0.10375	0.0475	0.16	0.26	0.353333333333333	0.27	0.2	0.04	0.16	0.15	0.34	0.475	0.105	0.1	0.04	0.235
ZNF667-AS1	8.03166666666667	6.812	5.604	3.04875	2.2825	1.93	3.83333333333333	4.43	4.13333333333333	2.28333333333333	1.4	1.21666666666667	2.33666666666667	5.14	4.465	4.135	2.225	1.395	3.01
ZNF668	9.99791666666667	5.954	6.53	4.92375	5.41	4.488	4.82666666666667	4.11333333333333	5.36666666666667	3.18333333333333	3.72666666666667	4.53	3.54333333333333	2.82	2.81	3.065	5	3.43	2.585
ZNF669	10.1395833333333	4.622	6.208	5.40875	3.94	4.67	5.42	2.02333333333333	1.51666666666667	1.87666666666667	0.876666666666667	2.32333333333333	2.64	3.685	3.08	1.985	1.96	2.155	2.985
ZNF670	1.41333333333333	1.104	0.286	0.54875	0.47	0.726	0.796666666666667	0.996666666666667	0.5	0.31	0.55	0.65	0.506666666666667	1.45	0.695	0.615	0.55	1.18	1.34
ZNF670-ZNF695	0.409583333333333	0.034	0.312	0.16875	0.1325	0.048	0.183333333333333	0.13	0.09	0.13	0.07	0.19	0	0.35	0.415	0.38	0.405	0	0.225
ZNF671	5.1375	1.426	1.294	1.07875	1.955	2.78	3.78333333333333	1.06333333333333	0.613333333333333	0.746666666666667	1.29666666666667	1.95666666666667	1.28666666666667	1.485	1.1	1.815	1.795	1.86	2.29
ZNF672	26.2670833333333	29.346	20.66	16.02125	15.6275	21.794	27.7633333333333	22.7433333333333	16.64	18.51	14.8066666666667	22.0433333333333	18.43	28.37	24.015	15.655	14.81	17.445	25.495
ZNF674	1.87333333333333	1.204	1.098	0.99125	0.7625	0.77	1.52	0.573333333333333	0.396666666666667	0.8	0.376666666666667	0.673333333333333	0.78	0.695	0.845	0.475	0.54	0.39	0.755
ZNF674-AS1	1.41291666666667	1.072	2.472	1.41	0.39	0.368	0.74	1.31666666666667	2.82333333333333	3.10333333333333	1.83	0.723333333333333	0.766666666666667	0.58	1.325	0.725	0.42	0.245	0.535
ZNF675	13.1108333333333	8.402	3.1	4.58625	8.5375	12.044	11.6266666666667	5.01333333333333	3.39	5.13666666666667	5.06333333333333	5.83	6.57666666666667	6.195	4.285	4.115	4.35	6.125	7.89
ZNF676	0.05375	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF677	0.76	0.492	0.752	0.335	0.4	0.348	0.486666666666667	0.703333333333333	0.716666666666667	0.16	0.36	0.406666666666667	0.146666666666667	0.72	0.54	0.505	0.66	0.235	0.315
ZNF678	3.4425	2.582	1.07	1.39125	1.085	2.114	2.92666666666667	2.92666666666667	1.85666666666667	1.47	1.27	2.20333333333333	1.26666666666667	2.62	2.015	2.09	1.655	2.295	4.495
ZNF679	0.0175	0	0	0.0175	0.0925	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF680	6.92041666666667	3.764	1.504	1.81875	2.775	4.672	3.66666666666667	3.75666666666667	1.80666666666667	1.58333333333333	1.76333333333333	2.59666666666667	2.06666666666667	3.905	3.235	3.685	3.895	4.585	8.045
ZNF681	1.72208333333333	0.578	0.648	0.51625	0.685	0.632	0.696666666666667	0.33	0.446666666666667	0.183333333333333	0.12	0.63	0.396666666666667	0.8	0.485	0.47	0.515	0.355	0.42
ZNF682	0.75375	0.15	0.146	0.22625	0.345	0.074	0.0966666666666667	0.17	0.106666666666667	0.0566666666666667	0.0366666666666667	0.11	0.143333333333333	0.115	0.245	0.175	0.11	0.215	0.345
ZNF683	0.30125	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0.04	0	0.05	0	0	0
ZNF684	2.67041666666667	1.474	0.958	2.5025	3.665	2.74	3.13666666666667	1.03333333333333	0.753333333333333	1.48	1.3	1.80666666666667	1.85	2.32	4.45	5.07	5.755	6.45	11.2
ZNF687	18.38	9.984	7.36	5.65375	11.33	11.908	16.2133333333333	7.42333333333333	6.72666666666667	4.25	5.08666666666667	8.73333333333333	6.54333333333333	7.25	7.19	5.41	6.56	9.835	11.025
ZNF688	9.41916666666667	5.284	3.7	2.24375	3.535	6.052	10.3166666666667	6.45	5.71	1.66	1.95333333333333	5.56	5.90333333333333	8.635	5.135	5.14	7.34	8.2	15.135
ZNF689	12.5141666666667	5.472	2.19	3.5525	4.415	6.712	11.15	2.92666666666667	1.32	2.23333333333333	1.85	4.39	3.77333333333333	6.465	2.88	3.875	4.175	5.86	7.905
ZNF69	1.73083333333333	0.652	0.452	0.3425	0.335	0.942	0.72	0.443333333333333	0.483333333333333	0.0233333333333333	0.166666666666667	0.473333333333333	0.623333333333333	0.535	1.175	0.69	0.98	0.485	0.765
ZNF691	8.15625	2.304	1.786	3.82875	3.7575	5.314	9.5	1.84	0.616666666666667	1.34666666666667	1.91333333333333	3.06333333333333	4.36666666666667	1.98	1.765	2.83	2.245	3.445	4.39
ZNF692	5.615	3.046	2.902	1.12	0.89	2.122	3.38666666666667	2.10666666666667	1.51	0.243333333333333	0.643333333333333	1.31	1.33	0.985	1.185	0.38	0.345	1.04	1.095
ZNF695	1.06333333333333	0.096	0.224	0.2975	0.155	0.368	0.223333333333333	0.0966666666666667	0.0333333333333333	0.02	0.0166666666666667	0.313333333333333	0	0.07	0.025	0.07	0	0	0.02
ZNF696	1.065	0.352	0.24	0.3075	0.4925	0.714	0.786666666666667	0.386666666666667	0.22	0.116666666666667	0.29	0.493333333333333	0.58	0.655	0.41	0.165	0.45	0.4	0.495
ZNF697	13.54875	47.236	85.234	28.7175	16.065	18.752	18.0633333333333	28.6533333333333	70.8766666666667	46.6366666666667	26.6166666666667	27.36	22.51	9.075	7.23	5.725	6.4	4.9	6.61
ZNF699	2.9375	1.528	1.92	2.7625	3.945	3.754	4.69333333333333	2.27666666666667	2.94333333333333	2.04333333333333	2.42	2.89	3.21	1.35	2.875	2.58	2.555	1.98	3.21
ZNF7	10.65125	6.712	5.618	4.32875	5.47	8.152	9.42	3.23333333333333	3.10333333333333	2.67666666666667	2.53666666666667	4.86666666666667	4.72	3.995	3.835	4.175	3.82	4.45	4.795
ZNF70	2.70791666666667	1.61	0.98	0.685	0.3875	0.908	1.89333333333333	2.03333333333333	0.963333333333333	0.386666666666667	0.496666666666667	0.866666666666667	1.13333333333333	1.8	1.45	0.545	0.745	0.92	1.28
ZNF700	8.27875	4.804	1.836	1.13625	1.9725	3.978	4.55	3.48333333333333	1.7	0.313333333333333	0.81	2.86666666666667	2.42	4.11	3.81	2.05	2.79	3.81	3.95
ZNF701	6.15625	3.156	2.162	2.78625	3.59	4.878	5.11333333333333	2.02666666666667	1.91333333333333	2.08	2.35333333333333	3.06	3.22	3.245	3.515	3.105	3.2	4.805	4.62
ZNF702P	1.20041666666667	1.032	0.752	0.86125	0.9575	2.428	1.39333333333333	1.39666666666667	0.67	0.32	0.306666666666667	0.42	0.723333333333333	1.795	1.905	6.915	10.43	27.525	36.745
ZNF703	26.5825	7.446	4.742	1.67375	2.92	2.216	3.16666666666667	10.6166666666667	8.40666666666667	2.25333333333333	1.85666666666667	4.11333333333333	6.12333333333333	7.235	5.065	2.1	1.63	3.24	6.185
ZNF704	1.24583333333333	0.662	0.65	0.3625	0.3	0.068	0.22	0.623333333333333	0.51	0.766666666666667	0.776666666666667	0.236666666666667	0.123333333333333	0.535	0.39	0.315	0.085	0.065	0.22
ZNF705A	0.0454166666666667	0.014	0	0	0	0.014	0.156666666666667	0.0333333333333333	0	0	0	0	0.02	0	0	0	0	0	0
ZNF705B	0.00875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF705D	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF705E	0.105416666666667	0	0	0	0.0175	0	0.07	0	0	0	0	0	0.0233333333333333	0.025	0	0.045	0.025	0.02	0.02
ZNF705G	0.00458333333333333	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF706	91.92	104.332	102.232	84.49	59.0825	79.596	69.4633333333333	81.7466666666667	75.4666666666667	70.9633333333333	65.2533333333333	60.48	72.0933333333333	80.99	85.815	85.56	87.475	93.165	82.395
ZNF707	4.76541666666667	3.74	2.936	2.5025	3.165	3.968	5.24333333333333	0.316666666666667	0.186666666666667	0.193333333333333	0.12	0.73	0.33	0.345	0.41	0.415	0.42	0.31	0.58
ZNF708	6.85	4.578	2.792	3.41	3.16	3.674	4.09333333333333	2.69	2.05	1.62666666666667	2.08666666666667	1.8	1.52666666666667	2.19	1.36	1.25	1.1	1.57	2.4
ZNF709	0.739166666666667	0.17	0.18	0.065	0.2275	0.412	0.4	0.24	0.16	0.256666666666667	0.0933333333333333	0.63	0.36	0.355	0.235	0.215	0.31	0.2	0.33
ZNF71	3.16333333333333	1.682	1.426	2.2475	3.14	2.19	2.20333333333333	1.92	0.896666666666667	1.94666666666667	1.88333333333333	2.36	1.71666666666667	1.845	1.29	1.475	1.465	0.775	1.905
ZNF710	23.5420833333333	16.556	9.124	15.52	13.56	9.978	9.88	15.0633333333333	8.28666666666667	6.10333333333333	5.25666666666667	16.05	11.8	13.515	7.72	13.405	10.665	11.425	12.595
ZNF711	2.76041666666667	0.798	1.022	0.28625	0.185	0.036	0.136666666666667	0.676666666666667	0.513333333333333	0.0733333333333333	0.193333333333333	0.07	0.05	0.275	0.31	0.385	0.29	0.08	0.475
ZNF713	2.33625	0.766	1.58	0.9775	0.65	0.726	1.22333333333333	1.15	1.32333333333333	0.8	1.05	1.47	0.733333333333333	1.29	1.195	0.905	0.89	0.485	0.565
ZNF714	7.5275	4.648	4.864	3.105	3.285	1.992	3.25333333333333	2.44333333333333	2.18	1.69666666666667	1.55	1.81666666666667	0.77	1.355	1.49	1.095	0.66	0.84	1
ZNF716	0.132083333333333	0.074	0.28	0.1275	0.075	0.124	0.12	0.136666666666667	0.09	0.133333333333333	0.08	0.16	0.0633333333333333	0.245	0.325	0.21	0.24	0.125	0.015
ZNF717	7.67708333333333	4.622	2.656	1.63875	1.9925	5.402	6.85666666666667	4.71666666666667	3.77333333333333	1.59333333333333	0.856666666666667	1.92	1.78	7.09	5.985	3.91	2.465	3.02	4.385
ZNF718	5.26916666666667	4.806	3.486	2.785	2.495	4.582	4.66	2.74	1.77	2.31	2.53333333333333	1.58666666666667	1.6	3.92	3.455	1.905	1.68	3.05	3.515
ZNF720	5.7375	5.256	4.9	3.9025	3.605	5.882	6.82	5.32	5.14666666666667	4.09333333333333	4.16333333333333	5.31333333333333	3.45	5.35	4.53	2.97	2.42	3.81	4.63
ZNF721	8.92583333333333	3.686	2.502	2.3575	2.5525	3.484	4.00666666666667	3.28	1.19	2.56333333333333	2.26	1.72666666666667	1.78333333333333	3.94	3.49	1.935	2.22	2.09	3.225
ZNF724P	4.0025	1.442	0.306	0.28875	0.4875	2.048	0.876666666666667	1.86333333333333	0.293333333333333	0.113333333333333	1.09	1.38666666666667	1.01	1.945	1.415	1.095	0.555	0.945	3.215
ZNF726	0.862916666666667	0.342	0.192	0.09	0.1175	0.13	0.0366666666666667	0.0833333333333333	0	0.03	0	0	0	0.095	0.185	0	0.04	0	0.15
ZNF727	0.1075	0.044	0.04	0	0	0	0	0	0	0	0	0.0866666666666667	0	0	0	0	0	0	0.135
ZNF728	0.0204166666666667	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0
ZNF729	0.0379166666666667	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF730	1.17875	0.176	0.084	0.01125	0.07	0.046	0.0666666666666667	0.0666666666666667	0	0	0.12	0	0.0933333333333333	0.095	0.04	0.1	0	0.03	0.03
ZNF732	0.103333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0
ZNF733P	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0
ZNF735	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0
ZNF736	9.18583333333333	7.802	4.566	3.01	4.2725	6.018	7.5	5.92333333333333	4.28333333333333	4.39666666666667	2.84	5.60333333333333	4.82333333333333	5.525	4.99	3.35	3.88	2.49	6.22
ZNF737	2.54458333333333	1.022	1.186	0.80125	1.1075	1.204	1.19333333333333	0.76	0.703333333333333	0.706666666666667	0.27	0.603333333333333	0.523333333333333	1.26	0.81	0.84	0.525	0.74	0.92
ZNF738	1.20625	0.674	0.51	0.41	0.47	0.476	0.55	0.566666666666667	0.44	0.383333333333333	0.306666666666667	0.343333333333333	0.243333333333333	0.57	0.55	0.45	0.395	0.395	0.4
ZNF74	2.79791666666667	1.774	0.5	0.30375	0.3775	1.67	3.07	1.42	0.626666666666667	0.236666666666667	0.26	0.33	0.703333333333333	1.255	0.975	0.445	0.66	0.695	1.66
ZNF740	8.57083333333333	4.466	1.518	1.58875	2.7075	4.864	9.48333333333333	4.90333333333333	1.99333333333333	1.13666666666667	1.63333333333333	3.87333333333333	3.93	4.48	3.55	3.79	3.615	5.43	6.895
ZNF746	22.1254166666667	12.738	10.244	14.14	13.9225	16.092	20.52	9.59	4.85333333333333	9.83333333333333	12.7566666666667	12.4033333333333	13.4833333333333	9.13	5.505	7.73	5.58	6.85	8.03
ZNF747	6.13208333333333	4.138	2.61	1.94625	3.2075	4.872	7.88333333333333	3.53666666666667	2.82	2.08333333333333	1.52666666666667	3.84	4.94333333333333	3.42	2.995	1.805	2.205	2.87	5.36
ZNF749	1.75291666666667	0.968	1.13	0.75875	0.6425	0.84	1.51666666666667	0.793333333333333	0.43	0.556666666666667	0.76	0.64	0.266666666666667	0.63	0.25	0.41	0.56	0.605	0.52
ZNF750	0.0866666666666667	0.012	0	0.00875	0.0175	0.02	0.0433333333333333	0	0	0	0	0	0	0	0	0	0	0	0
ZNF75A	8.48541666666667	5.186	2.146	3.0425	4.0625	6.928	7.63	2.56666666666667	2.23666666666667	1.94666666666667	1.73	2.34666666666667	3.58666666666667	3.435	2.955	2.405	3.075	5.695	6.09
ZNF75D	5.66291666666667	4.43	3.172	1.95	1.995	4.232	6.4	3.44333333333333	2.57666666666667	0.76	0.706666666666667	1.98333333333333	4.11666666666667	3.46	2.86	1.78	1.915	2.855	5.295
ZNF76	14.3458333333333	12.58	12.574	5.27375	5.82	9.946	14.1833333333333	9.96333333333333	10.1	4.20333333333333	4.28333333333333	8.52333333333333	9.19	10.49	8.9	8.06	5.765	6.595	9.67
ZNF761	11.6054166666667	7.852	7.444	6.38875	4	8	9.06666666666667	4.86666666666667	5.58666666666667	4.35	3.97333333333333	4.09	4.12666666666667	6.12	5.52	5.13	5.145	4.7	8.885
ZNF763	2.0375	1.16	0.522	0.29875	0.455	1.384	2.06	0.693333333333333	0.48	0.09	0.0733333333333333	0.426666666666667	0.873333333333333	1.005	0.88	0.485	0.415	1.41	1.215
ZNF764	5.57791666666667	2.504	1.67	2.06625	2.7525	2.952	5.03666666666667	1.27666666666667	1.45333333333333	1.56333333333333	1.74	3.18333333333333	2.39	1.23	1.05	0.985	1.51	1.415	2.365
ZNF765	5.51375	3.608	3.386	3.43625	3.58	5.292	6.13333333333333	4.73	2.83333333333333	3.13333333333333	3.61	4.18333333333333	3.75333333333333	4.465	5.385	4.18	4.31	4.625	6.17
ZNF766	10.7483333333333	3.566	2.432	2.33375	4.6975	9.314	14.5333333333333	2.90666666666667	1.66333333333333	2.68333333333333	2.37666666666667	3.4	3.61	3.975	3.21	5.145	5.835	10.84	16.775
ZNF767P	3.90541666666667	1.67	1.384	2.38625	1.8925	2.334	2.64333333333333	1.16333333333333	0.89	1.27333333333333	1.23333333333333	1.61333333333333	1.71666666666667	0.68	1.005	0.765	0.95	1.145	0.9
ZNF768	26.3804166666667	16.302	8.824	3.5325	4.785	10.94	24.3133333333333	17.4666666666667	9.88	3.36333333333333	4.38	11.4	14.8333333333333	17.02	9	4.4	4.9	7.73	10.875
ZNF77	1.66208333333333	1.106	0.268	0.325	0.255	1.104	0.976666666666667	0.576666666666667	0.326666666666667	0.176666666666667	0.216666666666667	0.81	0.5	0.9	0.755	0.57	0.255	0.75	0.81
ZNF770	22.1575	13.57	6.99	8.945	10.6475	16.514	26.1266666666667	17.3733333333333	7.73666666666667	11.8233333333333	12.1666666666667	19.59	18.5633333333333	14.1	10.46	10.57	9.545	9.64	13.76
ZNF771	1.50791666666667	0.852	1.28	0.655	0.1625	0.886	1.12	0.433333333333333	0.423333333333333	0.213333333333333	0.0733333333333333	0.756666666666667	0.563333333333333	0.895	0.295	0.48	0.375	0.14	0.84
ZNF772	4.21	1.936	1.8	1.5825	2.285	3.758	4.34333333333333	1.19	0.503333333333333	0.593333333333333	0.486666666666667	0.723333333333333	0.723333333333333	1.345	1	1.46	1.22	1.135	1.975
ZNF773	2.59458333333333	1.004	0.922	0.93375	0.9925	1.632	2.02666666666667	0.62	0.633333333333333	1.18333333333333	0.813333333333333	0.83	0.743333333333333	1.41	1.065	1.06	1.155	1.44	1.355
ZNF774	0.580416666666667	0.308	0.306	0.15125	0.1375	0.71	1.23	0.366666666666667	0.203333333333333	0	0.11	0.28	0.14	0.31	0.4	0.12	0.05	0.04	0.04
ZNF775	2.78541666666667	1.13	0.874	0.82	1.025	2.114	3.24333333333333	0.716666666666667	0.526666666666667	0.216666666666667	1.18	1.51666666666667	1.09666666666667	0.64	0.585	0.825	1.03	0.995	1.315
ZNF776	7.57333333333333	3.448	4.328	3.78125	4.56	4.982	6.00666666666667	2.61333333333333	3.78333333333333	3.7	4.09333333333333	4.38666666666667	3.48333333333333	3.625	3.18	3.605	3.205	3.17	4.05
ZNF777	8.23458333333333	5.232	3.504	3.895	4.43	6.39	10.85	3.81	2.33666666666667	2.89333333333333	3.86	4.63666666666667	4.09	3.565	3.395	2.61	2.865	4.525	5.53
ZNF778	2.27125	1.29	1.57	1.875	1.7775	1.916	2.18	0.876666666666667	0.856666666666667	1.56666666666667	1.35666666666667	0.82	1.04666666666667	1.035	1.1	0.975	0.845	1.42	0.95
ZNF780A	10.77125	5.14	3.006	2.2825	2.34	4.32	5.37	3.8	1.81333333333333	1.67	1.16	3.32333333333333	3.43	4.66	2.95	3.125	3.215	3.4	4.42
ZNF780B	3.08791666666667	1.712	1.232	0.77875	0.7025	1.336	2.06	2.21	1.11333333333333	0.753333333333333	0.553333333333333	0.9	0.953333333333333	2.2	1.21	0.67	0.695	0.78	1.175
ZNF781	0.175	0.31	0.054	0.01625	0	0.1	0.05	0.0766666666666667	0.11	0.02	0.02	0	0	0.15	0.16	0.025	0.025	0	0.02
ZNF782	3.26875	1.238	1.122	1.445	1.3375	2.058	1.91666666666667	1.13	1.14333333333333	0.916666666666667	1.16	1.98666666666667	1.29666666666667	1.21	1.025	1.51	1.555	1.305	1.19
ZNF783	3.60583333333333	2.564	2.49	1.95625	1.3375	1.99	2.85666666666667	1.82	1.89	1.42666666666667	1.04333333333333	1.35	1.40333333333333	1.725	1.06	1.8	1.19	1.66	2.145
ZNF784	5.05708333333333	2.906	2.216	2.00125	2.1625	2.626	4.57333333333333	2.72666666666667	2.04	1.41666666666667	1.81666666666667	2.39	3.28333333333333	3.89	5.955	2.84	3.1	3.38	5.11
ZNF785	2.55083333333333	0.872	1.052	0.65875	0.805	1.096	2.18333333333333	0.466666666666667	0.663333333333333	0.42	0.216666666666667	1.12333333333333	1.01333333333333	1.415	0.88	0.87	0.795	0.895	0.78
ZNF786	3.72375	1.49	0.96	0.63875	0.9625	1.96	3.39666666666667	0.96	0.71	0.256666666666667	0.71	1.2	1.22	1.665	1.025	0.845	0.725	1.59	2.05
ZNF787	30.6404166666667	17.93	19.194	14.76375	11.0575	10.584	12.2833333333333	21.2533333333333	21.57	14.85	17.3633333333333	17.26	17.4533333333333	24.42	19.895	15.65	13.005	16.73	18.79
ZNF788	2.72375	1.37	1.092	0.4075	0.3325	1.844	3.95333333333333	1.13666666666667	1.05666666666667	0.226666666666667	0.166666666666667	0.7	1.04666666666667	1.625	0.625	0.195	0.32	0.585	1.62
ZNF789	4.83625	3.686	5.006	2.10875	1.845	2.222	2.05	2.6	1.98	1.03333333333333	1.19	0.96	1.26333333333333	2.89	2.69	1.74	1.93	0.81	1.56
ZNF79	8.60875	5.078	7.284	5.445	5.805	5.494	6.97	2.42666666666667	2.21333333333333	3.47333333333333	4.13	5.09	4.56666666666667	2.955	3.255	4.22	4.565	4.675	6.185
ZNF790	3.35583333333333	1.696	0.562	0.945	1.2875	2.442	2.85	1.34666666666667	0.74	0.703333333333333	0.766666666666667	1.05333333333333	1.15	1.97	1.205	1.07	1.015	1.58	1.69
ZNF790-AS1	1.18166666666667	1.236	0.644	0.61625	0.445	0.442	0.8	1.38333333333333	0.803333333333333	0.07	0.55	0.276666666666667	0.0766666666666667	0.86	0.885	0.595	0.63	0.805	0.7
ZNF791	17.7791666666667	7.184	5.146	6.19125	8.62	8.294	12.7666666666667	4.47333333333333	3.22333333333333	6.57666666666667	6.89666666666667	6.81333333333333	7.72333333333333	6.23	4.735	4.58	3.7	4.78	5.125
ZNF792	2.78083333333333	1.132	1.566	1.06	1.9975	3.416	2.80666666666667	0.926666666666667	0.476666666666667	1.01666666666667	1.00333333333333	1.11333333333333	0.786666666666667	0.615	0.335	0.365	0.555	0.855	1.26
ZNF793	1.22666666666667	0.77	1.142	0.79625	0.8025	0.696	0.91	0.38	0.39	0.393333333333333	0.316666666666667	0.35	0.4	1.185	0.99	0.935	1.02	0.35	0.21
ZNF793-AS1	0.147916666666667	0	0	0	0	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF799	2.67458333333333	1.816	1.744	0.45	1.015	2.13	2.05	0.74	1.8	0.65	0.633333333333333	1.31333333333333	1.06666666666667	0.885	0.385	0.585	0.87	1.55	1.73
ZNF8	8.91625	3.608	2.624	2.3525	3.725	5.788	8.06	2.79	1.28	2.28333333333333	1.97	2.88333333333333	3.91	2.78	2.35	2.465	1.725	1.745	2.28
ZNF80	0.994583333333333	0.774	1.6	0.93875	0.5275	0.796	0.703333333333333	0.226666666666667	0.256666666666667	0.306666666666667	0.36	0.74	0.486666666666667	0.165	0.35	0.37	0.27	0.025	0.1
ZNF800	25.66375	28.708	37.056	22.14125	20.345	17.83	21.0733333333333	25.9033333333333	33.7333333333333	28.7366666666667	21.4266666666667	19.1433333333333	17.8866666666667	22.17	27.61	25.915	25.185	18.945	21.78
ZNF804A	9.99458333333333	11.042	9.068	3.715	3.8225	2.83	2.79333333333333	9.58666666666667	5.75	3.12666666666667	5.24333333333333	5.12666666666667	6.31	6.97	7	3.945	5.455	3.53	3.11
ZNF804B	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF805	6.40083333333333	4.734	3.672	4.1725	4.78	4.626	6.8	3.67	2.35333333333333	4.22	4.59666666666667	4.56	4.31666666666667	4.04	3.005	2.775	2.33	2.305	3.215
ZNF808	10.4204166666667	8.678	5.03	3.97125	4.755	6.104	7.67333333333333	7.95	4.43333333333333	3.61333333333333	3.82333333333333	6.43666666666667	4.06333333333333	6.225	4.82	2.74	2.805	3.175	3.9
ZNF81	2.62333333333333	1.712	1.11	0.9525	1.4325	2.24	3.21666666666667	1.53666666666667	1.18333333333333	1.27666666666667	1.00666666666667	2.03666666666667	1.41	1.72	1.22	0.72	0.59	0.495	1.17
ZNF812	0.0341666666666667	0.046	0.092	0.055	0.03	0.054	0.07	0	0	0	0	0	0	0	0	0.035	0	0	0
ZNF813	2.86916666666667	1.436	0.62	0.52625	1	1.684	2.41666666666667	1.26	0.556666666666667	0.216666666666667	0.67	0.836666666666667	0.896666666666667	1.48	0.995	0.715	0.905	1.245	1.605
ZNF814	2.595	1.612	1.936	1.2975	1.16	1.69	2.08333333333333	1.13666666666667	1.08333333333333	0.716666666666667	0.846666666666667	0.81	0.79	1.54	1.225	1.11	1.2	0.46	0.735
ZNF815P	1.22166666666667	0.78	0.652	0.09375	0.1325	0.158	0.51	0.953333333333333	0.75	0.193333333333333	0.0166666666666667	0.0733333333333333	0.0966666666666667	0.93	0.77	0.25	0	0.1	0.545
ZNF816	6.40625	3.036	1.25	1.28875	2.6825	5.878	6.23666666666667	1.78	0.726666666666667	0.513333333333333	0.59	1.58333333333333	1.41666666666667	2.01	1.99	2.55	2.895	5.105	6.43
ZNF816-ZNF321P	0.654166666666667	0.326	0.36	0.215	0.2775	0.288	0.363333333333333	0.476666666666667	0.18	0	0.0266666666666667	0.19	0.0266666666666667	0	0	0	0	0	0.085
ZNF818P	1.93708333333333	1.218	1.624	0.89625	1.2625	1.134	2.40666666666667	1.24666666666667	0.796666666666667	0.996666666666667	0.65	1.13666666666667	0.86	1.315	0.98	0.52	0.84	1.285	1.8
ZNF821	9.65125	7.71	4.374	2.415	3.2475	5.688	4.76666666666667	6.56	3.64666666666667	1.52	2.44666666666667	3.95	2.80333333333333	5.39	3.88	2.285	2.48	2.725	5.705
ZNF823	2.70125	0.872	0.432	0.49625	0.995	1.626	1.31	0.23	0.22	0.13	0.256666666666667	0.446666666666667	0.733333333333333	0.53	0.89	0.77	0.715	0.725	1.4
ZNF826P	1.17375	0.526	0.366	0.265	0.19	0.242	1.15	1.06333333333333	0.69	0.296666666666667	0.356666666666667	2.14666666666667	1.09333333333333	1.975	1.095	0.13	0.245	0.75	1.475
ZNF827	4.28125	0.952	0.882	0.77	0.46	0.804	2.04666666666667	0.736666666666667	0.516666666666667	0.536666666666667	0.226666666666667	0.373333333333333	0.49	0.57	0.505	0.17	0.275	0.115	0.055
ZNF829	1.73375	0.826	0.628	0.4075	0.5625	0.884	0.92	1.03666666666667	0.55	0.45	0.46	0.826666666666667	0.393333333333333	1.175	1.015	0.645	0.845	0.475	0.53
ZNF83	14.0916666666667	13.564	8.446	9.2275	5.985	9.116	8.9	1.75333333333333	1.08666666666667	0.943333333333333	0.456666666666667	0.63	0.87	1.275	1.675	1.235	0.75	1.175	1.35
ZNF830	15.7766666666667	7.872	7.5	7.36125	7.3975	10.248	11.4333333333333	6.90333333333333	6.16666666666667	6.66	7.74	11.6533333333333	9.72666666666667	7.995	8.425	4.96	5.775	7.425	9.665
